run_accession	experiment_title	sample_accession	project_name	submission_accession	library_min_fragment_size	bam_md5	assembly_software	library_prep_longitude	library_selection	pcr_isolation_protocol	chip_protocol	sequencing_primer_provider	serotype	environment_feature	last_updated	submitted_galaxy	extraction_protocol	germline	secondary_project	culture_collection	submission_tool	sra_bytes	read_strand	rna_purity_280_ratio	hi_c_protocol	collected_by	submitted_ftp	restriction_enzyme_target_sequence	isolate	fastq_bytes	instrument_platform	variety	sra_file_role	sequencing_date_format	temperature	sra_aspera	ecotype	submitted_aspera	sampling_campaign	bam_ftp	tissue_lib	environmental_sample	control_experiment	sex	submitted_md5	checklist	fastq_galaxy	library_gen_protocol	specimen_voucher	library_prep_latitude	submitted_bytes	taxonomic_identity_marker	run_date	country	ncbi_reporting_standard	sample_description	sra_galaxy	sample_prep_interval	fastq_md5	secondary_study_accession	experimental_protocol	read_count	study_title	bio_material	fastq_file_role	rna_prep_5_protocol	host_body_site	local_environmental_context	assembly_quality	collection_date_end	sample_capture_status	sample_title	host_genotype	host_phenotype	environmental_medium	cultivar	instrument_model	faang_library_selection	target_gene	bam_bytes	library_max_fragment_size	experiment_target	sequencing_date	description	bam_file_role	nominal_sdev	chip_ab_provider	environment_material	host_tax_id	sample_material	sample_storage_processing	sra_md5	cell_type	fastq_ftp	disease	sample_prep_interval_units	broker_name	sub_strain	base_count	library_strategy	restriction_site	serovar	investigation_type	location	library_source	sra_ftp	age	library_layout	experimental_factor	sequencing_primer_catalog	environment_biome	rna_purity_230_ratio	dnase_protocol	dev_stage	library_prep_date_format	bam_aspera	binning_software	datahub	rna_integrity_num	library_prep_date	location_start	marine_region	aligned	file_location	sample_collection	chip_target	nominal_length	broad_scale_environmental_context	sequencing_location	status	completeness_score	lon	fastq_aspera	tax_lineage	host_sex	library_pcr_isolation_protocol	sample_alias	mating_type	collection_date_start	sub_species	contamination_score	run_alias	restriction_enzyme	depth	submitted_file_role	submitted_read_type	library_construction_protocol	host_growth_conditions	collection_date	experiment_alias	host_gravidity	center_name	identified_by	cell_line	sampling_site	host	library_name	tag	first_created	lat	strain	experiment_accession	scientific_name	host_status	tax_id	study_accession	submitted_format	submitted_host_sex	surveillance_target	bisulfite_protocol	altitude	rt_prep_protocol	host_scientific_name	bam_galaxy	accession	secondary_sample_accession	sample_storage	cage_protocol	sampling_platform	taxonomic_classification	location_end	protocol_label	elevation	salinity	sequencing_method	sequencing_primer_lot	first_public	transposase_protocol	study_alias
SRR1810901	Illumina HiSeq 2500 sequencing: GSM1614028: YAP_rep1_ChIPSeq Homo sapiens ChIP-Seq	SAMN03354177	Homo sapiens	SRA243334					ChIP						2020-01-08							758238083								1059743429	ILLUMINA		ARCHIVAL_FILE			fasp.sra.ebi.ac.uk:/vol1/srr/SRR181/001/SRR1810901											ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/001/SRR1810901/SRR1810901.fastq.gz								Generic	YAP_rep1_ChIPSeq	ftp.sra.ebi.ac.uk/vol1/srr/SRR181/001/SRR1810901		dfcda578b8d5448514cb5c8f18d5f8fb	SRP055170		24139244	Widespread association between YAP/TAZ/TEAD and AP-1 at enhancers drives oncogenic growth [ChIP-Seq]		GENERATED_FILE							YAP_rep1_ChIPSeq					Illumina HiSeq 2500							Illumina HiSeq 2500 sequencing: GSM1614028: YAP_rep1_ChIPSeq Homo sapiens ChIP-Seq								3ab59572dd43489a52f29be091b8318a		ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/001/SRR1810901/SRR1810901.fastq.gz					1206962200	ChIP-Seq					GENOMIC	ftp.sra.ebi.ac.uk/vol1/srr/SRR181/001/SRR1810901		SINGLE																						public			fasp.sra.ebi.ac.uk:/vol1/fastq/SRR181/001/SRR1810901/SRR1810901.fastq.gz	1;131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;8287;1338369;32523;32524;40674;32525;9347;1437010;314146;9443;376913;314293;9526;314295;9604;207598;9605;9606			GSM1614028					GSM1614028_r2					Cross-linked chromatin was sheared by sonication and immunoprecipitated with YAP, TAZ, TEAD4 and JUN antibodies. DNA was purified by phenol/chloroform extraction and ethanol precipitation. NuGEN Ovation Ultralow Library Prep System kit			GSM1614028		GEO		MDA-MB-231				env_tax;env_tax:terrestrial	2015-08-04			SRX883576	Homo sapiens		9606	PRJNA275844									SRR1810901	SRS850787											2015-08-04		GSE66081
SRR1810902	Illumina HiSeq 2500 sequencing: GSM1614028: YAP_rep1_ChIPSeq Homo sapiens ChIP-Seq	SAMN03354177	Homo sapiens	SRA243334					ChIP						2020-05-02							768300908								1074007543	ILLUMINA		ARCHIVAL_FILE			fasp.sra.ebi.ac.uk:/vol1/srr/SRR181/002/SRR1810902											ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/002/SRR1810902/SRR1810902.fastq.gz								Generic	YAP_rep1_ChIPSeq	ftp.sra.ebi.ac.uk/vol1/srr/SRR181/002/SRR1810902		babf0d8765f01b75f48117d476f5b3ba	SRP055170		24475519	Widespread association between YAP/TAZ/TEAD and AP-1 at enhancers drives oncogenic growth [ChIP-Seq]		GENERATED_FILE							YAP_rep1_ChIPSeq					Illumina HiSeq 2500							Illumina HiSeq 2500 sequencing: GSM1614028: YAP_rep1_ChIPSeq Homo sapiens ChIP-Seq								7efd1a15d7e137eee95135dd3bd6b8e6		ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/002/SRR1810902/SRR1810902.fastq.gz					1223775950	ChIP-Seq					GENOMIC	ftp.sra.ebi.ac.uk/vol1/srr/SRR181/002/SRR1810902		SINGLE																						public			fasp.sra.ebi.ac.uk:/vol1/fastq/SRR181/002/SRR1810902/SRR1810902.fastq.gz	1;131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;8287;1338369;32523;32524;40674;32525;9347;1437010;314146;9443;376913;314293;9526;314295;9604;207598;9605;9606			GSM1614028					GSM1614028_r3					Cross-linked chromatin was sheared by sonication and immunoprecipitated with YAP, TAZ, TEAD4 and JUN antibodies. DNA was purified by phenol/chloroform extraction and ethanol precipitation. NuGEN Ovation Ultralow Library Prep System kit			GSM1614028		GEO		MDA-MB-231				env_tax;env_tax:terrestrial	2015-08-04			SRX883576	Homo sapiens		9606	PRJNA275844									SRR1810902	SRS850787											2015-08-04		GSE66081
SRR1810900	Illumina HiSeq 2500 sequencing: GSM1614028: YAP_rep1_ChIPSeq Homo sapiens ChIP-Seq	SAMN03354177	Homo sapiens	SRA243334					ChIP						2020-05-03							768471538								1074943336	ILLUMINA		ARCHIVAL_FILE			fasp.sra.ebi.ac.uk:/vol1/srr/SRR181/000/SRR1810900											ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/000/SRR1810900/SRR1810900.fastq.gz								Generic	YAP_rep1_ChIPSeq	ftp.sra.ebi.ac.uk/vol1/srr/SRR181/000/SRR1810900		d39c74b72738d178cfa11369ad39ea6d	SRP055170		24549590	Widespread association between YAP/TAZ/TEAD and AP-1 at enhancers drives oncogenic growth [ChIP-Seq]		GENERATED_FILE							YAP_rep1_ChIPSeq					Illumina HiSeq 2500							Illumina HiSeq 2500 sequencing: GSM1614028: YAP_rep1_ChIPSeq Homo sapiens ChIP-Seq								0a1cc92e97d67d6b66a7aea7ddd6bf93		ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/000/SRR1810900/SRR1810900.fastq.gz					1227479500	ChIP-Seq					GENOMIC	ftp.sra.ebi.ac.uk/vol1/srr/SRR181/000/SRR1810900		SINGLE																						public			fasp.sra.ebi.ac.uk:/vol1/fastq/SRR181/000/SRR1810900/SRR1810900.fastq.gz	1;131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;8287;1338369;32523;32524;40674;32525;9347;1437010;314146;9443;376913;314293;9526;314295;9604;207598;9605;9606			GSM1614028					GSM1614028_r1					Cross-linked chromatin was sheared by sonication and immunoprecipitated with YAP, TAZ, TEAD4 and JUN antibodies. DNA was purified by phenol/chloroform extraction and ethanol precipitation. NuGEN Ovation Ultralow Library Prep System kit			GSM1614028		GEO		MDA-MB-231				env_tax;env_tax:terrestrial	2015-08-04			SRX883576	Homo sapiens		9606	PRJNA275844									SRR1810900	SRS850787											2015-08-04		GSE66081
